year;month;day;hour;hmix
2017;10;21;10;931.27
2017;10;21;11;1011.66
2017;10;21;12;1044.60
2017;10;21;13;1074.75
2017;10;21;14;1089.01
2017;10;21;15;1099.21
2017;10;21;16;1087.18
2017;10;21;17;1022.88
2017;10;21;18;50.00
2017;10;21;19;51.99
2017;10;21;20;51.99
2017;10;21;21;51.99
2017;10;21;22;50.00
2017;10;21;23;50.00
2017;10;22;00;50.00
2017;10;22;01;59.84
2017;10;22;02;59.84
2017;10;22;03;59.84
2017;10;22;04;91.66
2017;10;22;05;91.66
2017;10;22;06;91.66
2017;10;22;07;203.04
2017;10;22;08;435.32
2017;10;22;09;459.05
2017;10;22;10;555.39
2017;10;22;11;698.68
2017;10;22;12;805.45
2017;10;22;13;887.27
2017;10;22;14;932.80
2017;10;22;15;976.08
2017;10;22;16;976.06
2017;10;22;17;874.08
2017;10;22;18;58.73
2017;10;22;19;300.64
2017;10;22;20;300.64
2017;10;22;21;300.64
2017;10;22;22;299.68
2017;10;22;23;299.68
2017;10;23;00;299.68
2017;10;23;01;282.25
2017;10;23;02;282.25
2017;10;23;03;282.25
2017;10;23;04;408.38
2017;10;23;05;408.38
2017;10;23;06;408.38
2017;10;23;07;244.00
2017;10;23;08;346.59
2017;10;23;09;392.99
2017;10;23;10;510.78
2017;10;23;11;679.21
2017;10;23;12;936.23
2017;10;23;13;1280.90
2017;10;23;14;1525.44
2017;10;23;15;1596.81
2017;10;23;16;1546.53
2017;10;23;17;168.38
2017;10;23;18;168.51
2017;10;23;19;280.45
2017;10;23;20;280.45
2017;10;23;21;280.45
2017;10;23;22;271.58
2017;10;23;23;271.58
2017;10;24;00;271.58
2017;10;24;01;288.87
2017;10;24;02;288.87
2017;10;24;03;288.87
2017;10;24;04;216.20
2017;10;24;05;216.20
2017;10;24;06;216.20
2017;10;24;07;163.83
2017;10;24;08;270.18
2017;10;24;09;306.71
2017;10;24;10;325.04
2017;10;24;11;448.40
2017;10;24;12;569.53
2017;10;24;13;688.15
2017;10;24;14;780.32
2017;10;24;15;825.76
2017;10;24;16;831.90
2017;10;24;17;50.00
2017;10;24;18;50.00
2017;10;24;19;54.19
2017;10;24;20;54.19
2017;10;24;21;54.19
2017;10;24;22;60.14
2017;10;24;23;60.14
2017;10;25;00;60.14
2017;10;25;01;105.80
2017;10;25;02;105.80
2017;10;25;03;105.80
2017;10;25;04;70.42
2017;10;25;05;70.42
2017;10;25;06;70.42
2017;10;25;07;50.79
2017;10;25;08;169.03
2017;10;25;09;225.45
2017;10;25;10;370.88
2017;10;25;11;534.75
2017;10;25;12;649.14
2017;10;25;13;731.83
2017;10;25;14;782.77
2017;10;25;15;812.89
2017;10;25;16;809.77
2017;10;25;17;50.04
2017;10;25;18;50.04
2017;10;25;19;50.13
2017;10;25;20;50.13
2017;10;25;21;50.13
2017;10;25;22;50.00
2017;10;25;23;50.00
2017;10;26;00;50.00
2017;10;26;01;50.00
2017;10;26;02;50.00
2017;10;26;03;50.00
2017;10;26;04;50.00
2017;10;26;05;50.00
2017;10;26;06;50.00
2017;10;26;07;50.00
2017;10;26;08;92.38
2017;10;26;09;167.76
2017;10;26;10;310.29
2017;10;26;11;434.25
2017;10;26;12;537.24
2017;10;26;13;624.58
2017;10;26;14;688.15
2017;10;26;15;721.21
2017;10;26;16;717.54
2017;10;26;17;50.00
2017;10;26;18;50.00
2017;10;26;19;50.06
2017;10;26;20;50.06
2017;10;26;21;50.06
2017;10;26;22;50.00
2017;10;26;23;50.00
2017;10;27;00;50.00
2017;10;27;01;50.01
2017;10;27;02;50.01
2017;10;27;03;50.01
2017;10;27;04;50.00
2017;10;27;05;50.00
2017;10;27;06;50.00
2017;10;27;07;50.00
2017;10;27;08;55.38
2017;10;27;09;205.45
2017;10;27;10;355.17
2017;10;27;11;491.99
2017;10;27;12;588.60
2017;10;27;13;659.47
2017;10;27;14;702.27
2017;10;27;15;719.40
2017;10;27;16;712.89
2017;10;27;17;81.11
2017;10;27;18;81.11
2017;10;27;19;428.75
2017;10;27;20;428.75
2017;10;27;21;428.75
2017;10;27;22;635.96
2017;10;27;23;635.96
2017;10;28;00;635.96
2017;10;28;01;286.91
2017;10;28;02;286.91
2017;10;28;03;286.91
2017;10;28;04;54.21
2017;10;28;05;54.21
2017;10;28;06;54.21
2017;10;28;07;50.04
2017;10;28;08;50.04
2017;10;28;09;165.76
2017;10;28;10;325.88
2017;10;28;11;458.88
2017;10;28;12;569.53
2017;10;28;13;665.41
2017;10;28;14;733.39
2017;10;28;15;775.71
2017;10;28;16;774.13
2017;10;28;17;50.03
2017;10;28;18;50.03
2017;10;28;19;126.53
2017;10;28;20;126.53
2017;10;28;21;126.53
2017;10;28;22;50.18
2017;10;28;23;50.18
2017;10;29;00;50.18
2017;10;29;01;51.93
2017;10;29;02;51.93
2017;10;29;03;51.93
2017;10;29;04;50.00
2017;10;29;05;50.00
2017;10;29;06;50.00
2017;10;29;07;50.13
2017;10;29;08;50.13
2017;10;29;09;223.79
2017;10;29;10;352.19
2017;10;29;11;443.03
2017;10;29;12;514.57
2017;10;29;13;572.59
2017;10;29;14;615.71
2017;10;29;15;645.86
2017;10;29;16;642.02
2017;10;29;17;169.02
2017;10;29;18;169.13
2017;10;29;19;133.70
2017;10;29;20;133.70
2017;10;29;21;133.70
2017;10;29;22;82.03
2017;10;29;23;82.03
2017;10;30;00;82.03
2017;10;30;01;66.71
2017;10;30;02;66.71
2017;10;30;03;66.71
2017;10;30;04;50.21
2017;10;30;05;50.21
2017;10;30;06;50.21
2017;10;30;07;60.87
2017;10;30;08;60.87
2017;10;30;09;225.08
2017;10;30;10;363.94
2017;10;30;11;571.47
2017;10;30;12;771.40
2017;10;30;13;916.34
2017;10;30;14;1114.70
2017;10;30;15;1273.70
2017;10;30;16;1272.53
2017;10;30;17;131.08
2017;10;30;18;130.02
2017;10;30;19;59.56
2017;10;30;20;59.56
2017;10;30;21;59.56
2017;10;30;22;61.88
2017;10;30;23;61.88
2017;10;31;00;61.88
2017;10;31;01;199.00
2017;10;31;02;199.00
2017;10;31;03;199.00
2017;10;31;04;221.98
2017;10;31;05;221.98
2017;10;31;06;221.98
2017;10;31;07;78.57
2017;10;31;08;78.57
2017;10;31;09;304.52
2017;10;31;10;553.23
2017;10;31;11;864.74
2017;10;31;12;1033.80
2017;10;31;13;1169.47
2017;10;31;14;1252.18
2017;10;31;15;1330.98
2017;10;31;16;1335.60
2017;10;31;17;50.08
2017;10;31;18;50.15
2017;10;31;19;51.62
2017;10;31;20;51.62
2017;10;31;21;51.62
2017;10;31;22;50.96
2017;10;31;23;50.96
2017;11;01;00;50.96
2017;11;01;01;-999
2017;11;01;02;-999
2017;11;01;03;-999
2017;11;01;04;-999
2017;11;01;05;-999
2017;11;01;06;-999
2017;11;01;07;-999
2017;11;01;08;-999
2017;11;01;09;-999
2017;11;01;10;-999
2017;11;01;11;-999
2017;11;01;12;-999
2017;11;01;13;-999
2017;11;01;14;-999
2017;11;01;15;-999
2017;11;01;16;-999
2017;11;01;17;-999
2017;11;01;18;-999
2017;11;01;19;-999
2017;11;01;20;-999
2017;11;01;21;-999
2017;11;01;22;-999
2017;11;01;23;-999
2017;11;02;00;-999
2017;11;02;01;50.10
2017;11;02;02;50.10
2017;11;02;03;50.10
2017;11;02;04;50.73
2017;11;02;05;50.73
2017;11;02;06;50.73
2017;11;02;07;50.00
2017;11;02;08;50.00
2017;11;02;09;180.88
2017;11;02;10;387.54
2017;11;02;11;614.33
2017;11;02;12;776.40
2017;11;02;13;849.81
2017;11;02;14;871.12
2017;11;02;15;883.29
2017;11;02;16;864.07
2017;11;02;17;50.17
